"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 12, 2016","86.50","86.20","86.20","86.20","0.04K","3.04%"
"Dec 09, 2016","83.95","83.95","83.95","83.95","0.03K","1.63%"
"Dec 08, 2016","82.60","82.60","82.60","82.60","0.01K","2.42%"
"Dec 07, 2016","80.65","80.50","80.50","80.00","0.09K","1.77%"
"Dec 06, 2016","79.25","79.25","79.25","79.25","0.13K","-4.63%"
"Dec 05, 2016","83.10","83.10","83.10","83.10","0.04K","-1.19%"
"Dec 02, 2016","84.10","84.15","84.15","84.15","0.17K","-1.23%"
"Dec 01, 2016","85.15","85.15","85.15","85.15","0.09K","-0.53%"
"Nov 30, 2016","85.60","85.60","85.60","85.60","0.14K","1.00%"
"Nov 29, 2016","84.75","84.75","84.75","84.75","0.07K","0.47%"
"Nov 28, 2016","84.35","84.35","84.35","84.35","0.04K","-3.05%"
"Nov 25, 2016","87.00","87.00","87.00","87.00","-","0.40%"
"Nov 24, 2016","86.65","86.65","86.65","86.65","0.02K","1.88%"
"Nov 23, 2016","85.05","85.05","85.05","85.05","-","-2.41%"
"Nov 22, 2016","87.15","87.15","87.15","87.15","0.03K","0.40%"
"Nov 21, 2016","86.80","86.80","86.80","86.80","-","0.52%"
"Nov 18, 2016","86.35","86.35","86.35","86.35","0.01K","-0.17%"
"Nov 17, 2016","86.50","86.50","86.50","86.50","0.01K","0.00%"
"Nov 16, 2016","86.50","87.00","87.00","86.50","0.02K","-1.93%"
"Nov 15, 2016","88.20","88.20","88.20","88.20","0.01K","0.28%"
"Nov 14, 2016","87.95","87.95","87.95","87.95","0.03K","-1.62%"
"Nov 11, 2016","89.40","89.40","89.40","89.40","0.06K","0.56%"
"Nov 10, 2016","88.90","88.90","88.90","88.90","0.02K","-0.73%"
"Nov 09, 2016","89.55","89.55","89.55","89.55","0.07K","2.81%"
"Nov 08, 2016","87.10","87.00","87.00","87.00","0.15K","-0.74%"
"Nov 07, 2016","87.75","88.00","88.00","88.00","0.02K","0.80%"
"Nov 04, 2016","87.05","87.05","87.05","87.05","0.20K","1.81%"
"Nov 03, 2016","85.50","85.60","86.00","85.60","0.07K","1.06%"
"Nov 02, 2016","84.60","85.00","85.75","85.00","0.03K","-1.51%"
"Nov 01, 2016","85.90","86.30","86.30","86.00","0.07K","1.84%"
"Oct 31, 2016","84.35","84.35","84.35","84.35","0.06K","6.03%"
"Oct 28, 2016","79.55","79.55","79.55","79.55","-","0.13%"
"Oct 27, 2016","79.45","79.45","79.45","79.45","-","-0.06%"
"Oct 26, 2016","79.50","79.50","79.50","79.50","-","0.32%"
"Oct 25, 2016","79.25","79.25","79.25","79.25","-","0.00%"
"Oct 24, 2016","79.25","79.25","79.25","79.25","-","0.13%"
"Oct 21, 2016","79.15","79.15","79.15","79.15","-","0.83%"
"Oct 20, 2016","78.50","78.50","78.50","78.50","-","0.32%"
"Oct 19, 2016","78.25","79.80","79.80","79.50","0.02K","-2.31%"
"Oct 18, 2016","80.10","80.10","80.10","80.10","0.02K","3.42%"
"Oct 17, 2016","77.45","77.45","77.45","77.45","-","2.24%"
"Oct 14, 2016","75.75","75.75","75.75","75.75","0.03K","1.00%"
"Oct 13, 2016","75.00","75.60","75.60","75.60","0.06K","0.13%"
"Oct 12, 2016","74.90","74.40","75.00","74.40","0.02K","0.81%"
"Oct 11, 2016","74.30","74.25","74.45","74.20","0.01K","-1.78%"
"Oct 10, 2016","75.65","75.65","75.65","75.65","0.02K","-1.43%"
"Oct 07, 2016","76.75","77.00","77.00","77.00","0.08K","-0.58%"
"Oct 06, 2016","77.20","77.20","77.20","77.20","0.09K","1.98%"
"Oct 05, 2016","75.70","75.70","75.70","75.70","0.12K","0.13%"
"Oct 04, 2016","75.60","75.60","75.60","75.60","0.01K","1.14%"
"Oct 03, 2016","74.75","73.10","73.50","73.10","0.04K","19.03%"
"Sep 30, 2016","62.80","62.80","62.80","62.80","-","-0.08%"
"Sep 29, 2016","62.85","62.85","62.85","62.85","-","0.08%"
"Sep 28, 2016","62.80","62.80","62.80","62.80","0.01K","0.88%"
"Sep 27, 2016","62.25","62.25","62.25","62.25","0.01K","-0.48%"
"Sep 26, 2016","62.55","62.55","62.55","62.55","-","-0.08%"
"Sep 23, 2016","62.60","62.60","62.60","62.60","-","0.81%"
